                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3591,                 1.0051,                0.94863,                0.48289,                0.36524,                0.37261,                0.22179,                 1.3377,                 1.0042,                0.95219,               0.006535,               0.006535,               0.006535
                     37,                 1.3559,                0.99871,                0.94613,                0.49295,                0.36247,                 0.3739,                0.22169,                 1.3337,                0.99271,                0.94987,               0.006436,               0.006436,               0.006436
                     38,                 1.3458,                0.98757,                0.94498,                0.48752,                0.37396,                0.38345,                0.22944,                 1.3209,                0.98452,                0.94665,               0.006337,               0.006337,               0.006337
                     39,                 1.3461,                0.99175,                0.94605,                 0.5019,                0.36695,                0.37985,                0.22823,                   1.32,                0.98927,                  0.946,               0.006238,               0.006238,               0.006238
                     40,                 1.3425,                0.98825,                0.94575,                0.48894,                0.36571,                0.37883,                0.22575,                 1.3198,                0.98744,                0.94591,               0.006139,               0.006139,               0.006139
                     41,                 1.3405,                0.97877,                0.94138,                0.48752,                0.37073,                0.38323,                0.22836,                 1.3195,                0.98526,                0.94431,                0.00604,                0.00604,                0.00604
                     42,                 1.3406,                0.97977,                0.94213,                0.50364,                0.36855,                0.38379,                0.22998,                 1.3201,                0.98081,                0.94483,               0.005941,               0.005941,               0.005941
                     43,                 1.3363,                0.97399,                0.94251,                0.49202,                0.37612,                0.38853,                0.23301,                 1.3167,                0.97396,                0.94458,               0.005842,               0.005842,               0.005842
                     44,                 1.3388,                0.97722,                0.94197,                0.49477,                0.37558,                0.38792,                0.23209,                 1.3169,                 0.9732,                0.94656,               0.005743,               0.005743,               0.005743
                     45,                 1.3371,                0.97322,                0.94153,                0.49054,                 0.3704,                0.38834,                0.23396,                 1.3114,                 0.9683,                0.94546,               0.005644,               0.005644,               0.005644
                     46,                 1.3358,                0.97184,                0.94157,                0.48795,                0.37906,                0.38772,                0.23372,                 1.3119,                0.97064,                0.94439,               0.005545,               0.005545,               0.005545
                     47,                 1.3306,                0.96808,                0.93888,                0.50388,                0.37045,                0.38815,                0.23284,                 1.3073,                0.97091,                0.94357,               0.005446,               0.005446,               0.005446
                     48,                  1.326,                0.96282,                0.93913,                0.48043,                0.37287,                0.38362,                0.23062,                 1.3132,                0.97052,                0.94454,               0.005347,               0.005347,               0.005347
                     49,                 1.3221,                0.95672,                0.93826,                0.50541,                0.37189,                0.39183,                0.23524,                 1.3052,                0.96782,                 0.9422,               0.005248,               0.005248,               0.005248
                     50,                 1.3292,                0.96221,                 0.9399,                0.49953,                0.38092,                0.39567,                0.23764,                 1.3033,                0.96481,                0.94342,               0.005149,               0.005149,               0.005149
                     51,                 1.3208,                0.95392,                0.93654,                0.51026,                0.37804,                0.39806,                0.23893,                 1.3051,                0.96016,                0.94148,                0.00505,                0.00505,                0.00505
                     52,                 1.3207,                0.95125,                0.93731,                0.49768,                 0.3879,                0.39814,                0.23816,                 1.3049,                0.95793,                0.94144,               0.004951,               0.004951,               0.004951
                     53,                 1.3232,                0.95334,                0.93759,                0.50198,                0.38418,                 0.3983,                0.24102,                 1.2993,                0.95666,                0.94032,               0.004852,               0.004852,               0.004852
                     54,                 1.3101,                 0.9402,                0.93424,                0.50413,                0.38136,                0.39758,                0.23846,                 1.3032,                0.95717,                0.94093,               0.004753,               0.004753,               0.004753
                     55,                 1.3209,                0.94974,                0.93609,                0.49811,                 0.3853,                 0.3971,                0.23706,                 1.3026,                0.95763,                0.94037,               0.004654,               0.004654,               0.004654
                     56,                 1.3136,                 0.9408,                0.93429,                0.50868,                0.38155,                0.39929,                0.23964,                 1.2983,                0.95004,                0.93931,               0.004555,               0.004555,               0.004555
                     57,                 1.3066,                0.93596,                0.93319,                0.50272,                0.37667,                0.39633,                0.23877,                 1.2956,                0.95353,                0.93806,               0.004456,               0.004456,               0.004456
                     58,                  1.314,                0.93724,                0.93336,                0.51152,                0.37982,                0.39729,                0.23763,                 1.2959,                0.95258,                0.93979,               0.004357,               0.004357,               0.004357
                     59,                 1.3128,                0.93628,                0.93405,                0.50583,                0.38139,                0.39693,                0.23809,                 1.2974,                0.95283,                0.93908,               0.004258,               0.004258,               0.004258
                     60,                 1.3067,                  0.934,                0.93203,                0.49781,                0.37787,                0.39587,                 0.2378,                 1.2969,                0.95097,                0.93914,               0.004159,               0.004159,               0.004159
                     61,                 1.3048,                0.92846,                0.93175,                0.51464,                0.38238,                0.40006,                0.24088,                  1.294,                0.94433,                 0.9388,                0.00406,                0.00406,                0.00406
                     62,                 1.3014,                0.92801,                0.93248,                0.50649,                0.38835,                0.40265,                0.24138,                 1.2928,                0.94424,                0.93798,               0.003961,               0.003961,               0.003961
                     63,                 1.2994,                0.92505,                0.93233,                0.51233,                0.38568,                0.40335,                0.24209,                 1.2934,                 0.9464,                0.93676,               0.003862,               0.003862,               0.003862
                     64,                 1.2985,                0.92483,                0.93199,                0.51527,                0.38459,                0.40411,                0.24329,                 1.2925,                0.94255,                0.93698,               0.003763,               0.003763,               0.003763
                     65,                 1.2968,                0.91872,                 0.9317,                0.50544,                0.38736,                0.40288,                0.24188,                  1.287,                0.94011,                0.93629,               0.003664,               0.003664,               0.003664
                     66,                 1.2998,                0.92092,                0.93114,                 0.5104,                 0.3926,                0.40598,                0.24396,                 1.2918,                0.93822,                0.93772,               0.003565,               0.003565,               0.003565
                     67,                 1.2933,                0.91387,                 0.9285,                0.51959,                0.38391,                0.40329,                0.24277,                 1.2892,                0.93846,                0.93676,               0.003466,               0.003466,               0.003466
                     68,                 1.2916,                0.91243,                0.92914,                0.50879,                0.39272,                0.40582,                0.24342,                 1.2889,                0.93821,                 0.9372,               0.003367,               0.003367,               0.003367
                     69,                 1.2871,                0.90797,                0.92721,                0.52052,                0.38487,                0.40728,                0.24421,                 1.2888,                0.93599,                0.93638,               0.003268,               0.003268,               0.003268
                     70,                 1.2895,                0.90936,                0.92768,                0.50068,                0.39572,                0.40378,                0.24341,                 1.2865,                0.93698,                 0.9357,               0.003169,               0.003169,               0.003169
                     71,                 1.2927,                0.91144,                0.92947,                0.50722,                 0.3903,                0.40613,                0.24464,                 1.2831,                 0.9328,                0.93534,                0.00307,                0.00307,                0.00307
                     72,                 1.2847,                0.90774,                0.92732,                0.50954,                0.39623,                0.40821,                0.24615,                 1.2849,                0.93185,                0.93545,               0.002971,               0.002971,               0.002971
                     73,                 1.2827,                 0.9033,                0.92644,                0.51193,                0.39023,                0.40774,                0.24582,                 1.2828,                0.93284,                0.93444,               0.002872,               0.002872,               0.002872
                     74,                 1.2841,                0.90062,                0.92669,                 0.5191,                0.39088,                0.40743,                0.24517,                 1.2839,                0.93371,                0.93519,               0.002773,               0.002773,               0.002773
                     75,                 1.2788,                0.89721,                0.92626,                0.51867,                0.39299,                0.40701,                0.24519,                 1.2842,                0.93361,                0.93436,               0.002674,               0.002674,               0.002674
                     76,                 1.2802,                0.89703,                0.92535,                0.52001,                0.39333,                0.40928,                0.24654,                 1.2834,                0.92928,                0.93491,               0.002575,               0.002575,               0.002575
                     77,                 1.2773,                0.89411,                0.92602,                0.52378,                0.38775,                0.40833,                0.24557,                 1.2825,                0.93194,                0.93435,               0.002476,               0.002476,               0.002476
                     78,                 1.2803,                0.89234,                0.92388,                0.52355,                0.39335,                0.40962,                0.24645,                  1.283,                0.93075,                0.93412,               0.002377,               0.002377,               0.002377
                     79,                 1.2762,                0.89082,                0.92425,                0.52142,                0.39173,                0.41001,                0.24587,                 1.2857,                0.93068,                0.93481,               0.002278,               0.002278,               0.002278
                     80,                 1.2757,                0.88894,                0.92446,                  0.518,                0.39356,                0.41005,                0.24694,                 1.2835,                 0.9295,                0.93427,               0.002179,               0.002179,               0.002179
                     81,                 1.2744,                0.88731,                 0.9241,                0.51861,                0.39258,                0.40722,                0.24525,                 1.2839,                0.92974,                0.93459,                0.00208,                0.00208,                0.00208
                     82,                 1.2677,                0.87989,                0.92339,                0.51586,                0.39332,                0.40762,                0.24514,                  1.282,                0.92826,                0.93373,               0.001981,               0.001981,               0.001981
                     83,                  1.273,                0.88081,                0.92342,                0.51918,                0.39206,                0.40809,                0.24511,                 1.2824,                0.92797,                0.93374,               0.001882,               0.001882,               0.001882
                     84,                 1.2683,                0.88228,                0.92326,                0.52388,                0.39339,                0.40995,                0.24704,                 1.2795,                0.92741,                  0.933,               0.001783,               0.001783,               0.001783
                     85,                 1.2634,                0.87561,                0.92277,                0.52925,                0.38969,                0.40993,                0.24735,                   1.28,                0.92684,                0.93332,               0.001684,               0.001684,               0.001684
                     86,                 1.2609,                0.87303,                0.92159,                 0.5391,                0.38845,                0.41107,                0.24805,                 1.2792,                 0.9249,                0.93367,               0.001585,               0.001585,               0.001585
                     87,                 1.2628,                0.87515,                0.92391,                 0.5312,                0.39203,                0.41049,                0.24715,                 1.2817,                0.92567,                0.93402,               0.001486,               0.001486,               0.001486
                     88,                  1.269,                0.87752,                0.92131,                0.52603,                0.39518,                0.41229,                0.24806,                 1.2813,                 0.9258,                0.93359,               0.001387,               0.001387,               0.001387
                     89,                 1.2574,                 0.8671,                0.91901,                0.52221,                0.39725,                 0.4118,                0.24775,                 1.2824,                0.92544,                 0.9337,               0.001288,               0.001288,               0.001288
                     90,                 1.2572,                0.86802,                0.91943,                0.53271,                0.39084,                0.41094,                0.24718,                 1.2805,                0.92602,                0.93331,               0.001189,               0.001189,               0.001189
                     91,                 1.2494,                0.85577,                 0.9243,                0.52081,                0.39578,                 0.4104,                0.24671,                 1.2832,                0.92853,                0.93398,                0.00109,                0.00109,                0.00109
                     92,                 1.2392,                0.84092,                0.92041,                0.52382,                0.39288,                0.40998,                0.24633,                 1.2831,                0.92831,                0.93407,               0.000991,               0.000991,               0.000991
                     93,                 1.2347,                0.83568,                0.92056,                0.52128,                0.39345,                0.41082,                0.24631,                 1.2834,                0.92842,                0.93459,               0.000892,               0.000892,               0.000892
                     94,                  1.235,                0.83227,                0.91934,                0.51393,                0.39507,                0.41019,                0.24553,                  1.285,                0.92908,                0.93472,               0.000793,               0.000793,               0.000793
                     95,                   1.23,                 0.8288,                0.91778,                0.52262,                 0.3931,                0.41046,                0.24594,                 1.2853,                0.92713,                0.93466,               0.000694,               0.000694,               0.000694
                     96,                 1.2268,                0.82282,                0.91798,                0.52354,                0.39487,                0.40986,                0.24617,                 1.2854,                0.92632,                0.93453,               0.000595,               0.000595,               0.000595
                     97,                 1.2252,                 0.8232,                0.91848,                0.52803,                0.39314,                0.41026,                0.24615,                 1.2858,                 0.9269,                0.93472,               0.000496,               0.000496,               0.000496
                     98,                 1.2228,                0.81926,                0.91532,                0.52692,                 0.3926,                0.41007,                0.24659,                 1.2853,                0.92706,                0.93446,               0.000397,               0.000397,               0.000397
                     99,                 1.2238,                 0.8177,                0.91588,                0.52539,                 0.3905,                 0.4097,                0.24647,                 1.2845,                0.92652,                 0.9343,               0.000298,               0.000298,               0.000298
                    100,                 1.2192,                0.81506,                0.91502,                0.53095,                0.38903,                0.41031,                0.24646,                 1.2838,                0.92579,                0.93417,               0.000199,               0.000199,               0.000199
